board	quantity	rung	stands_on	checked_against	section
liuren	which hours are 晝 and which 夜	5	《大六壬精解》 p. 26: 卯辰巳午未申 are 晝時, 酉戌亥子丑寅 are 夜時, with a worked example on 甲子日	nothing. 《六壬大全》 carries the 貴人 verse and the 晝順夜逆 rule and nowhere says which hours are 晝, so the division the engine computes rests on this one book	《大六壬精解》, and the one refusal it moves
almanac	建除十二直 — the officer of the day	1	the count anchored on the 節, doubling the day a term opens on	lunar-javascript, every day from 2000 to 2039: officer and day pillar together 14600/14600	What it was checked against
almanac	二十八宿值日	1	one unbroken count of days, crossing a 節 where 建除 doubles	lunar-javascript 14600/14600 with the 七政 of each lodge, on an epoch over-determined by the seven-day lock the names carry	二十八宿值日 — the count, shipped without the doctrine
almanac	十二神 — the 黃黑道	4	《協紀辨方書》卷七, which rejects the two accounts it was handed and derives its own: 天罡 laid on the 建	the source works three months out in full and all three fall out of the rule	十二神 — the block where the source does its own work
almanac	年神 — twenty-six bearings	5	《協紀辨方書》卷三, each one whose position the source states outright and completely in its own entry	nothing: one text, quoted. What the source says about each beyond the bearing is 宜忌 and does not travel	年神 — six bearings, and why six is a boundary and not a set
almanac	四德 — 天德, 月德 and their 合	4	《協紀辨方書》卷四, enumerated whole	each 德 is confirmed by its own 五合 partner, which is the source stating one fact twice; against lunar-javascript over 3650 days, 天德合 100 %, 月德合 99.86 %, 天德 99.59 %, 月德 99.29 %, the residue unexplained and left standing	四德 — the first of the month gods
almanac	神煞 — the seven a day carries or does not	5	《協紀辨方書》卷五, each keyed to the month's branch, the season, or the day branch alone	nothing beyond the source's own enumeration. 《御定星歷考原》 was got as the second witness and cannot serve: the copy held is 卷一 of six, which carries no 神煞. Its 六合 derivation is confirmed on the plate, fuller than the 協紀's citation of it	神煞 — the seven a day carries or does not
qizheng	the places of the seven governors	0	Swiss Ephemeris, the library the solar terms already stand on	the positions are the same tier-1 material as the terms; every difficulty on this board is in the frame and not in them	七政四餘 — the board whose numbers come from the sky
qizheng	the frame — where the twenty-eight 宿 begin	3	the 距星 themselves, placed at the instant of the chart with precession and proper motion in them, from sefstars.txt	over-determined: twenty-eight transmitted widths, a ring that must close on 360°, and 儀象考成's places agreeing to about a minute of arc per star. 《曆法通志》 pp. 273-275 print the 黃道 widths of eight 曆 together, none with an epoch, and record that the 授時 took the 紀元曆's and that such tables are computed from the 赤道 by proportion rather than measured — which is this section's argument made from the other side	The frame, which is twenty-eight stars and not a table
qizheng	觜 and 參, the pair a degree apart	3	the same frame, at its narrowest lodge	儀象考成 1744 read against the computed places: 0.5″ for 斗宿一, 7.6″ for 參宿一, 50.5″ for 觜宿一 — a seventieth of the tightest question the frame answers	觜 and 參, which is the finding
qizheng	四餘 — 羅睺, 計都, 月孛	5	the mean elements the tradition transmits for them, 隱曜 being positions and not bodies	《星度指南》's worked board, which fixes a palace and not a degree, ±15°. 紫氣 is refused for want of any referent at all	四餘 — three of them, and why the fourth is missing
qizheng	命宮 by 立命 加時	3	「以生時加在太陽所在之宮，順數至卯」, which the texts state in one line	checked against the sky and not against a worked example: 卯時 returns the Sun's own palace, 酉時 the opposite, 午時 the palace ninety degrees along. A rule laid the other way fails all three	命宮 and the twelve 宮
qizheng	the twelve 人事宮	3	counting from the 命宮, in a direction no source consulted states in terms another could be held against	over-determination: ten of the twelve names fail a reversal, the twelve are the Hellenistic houses in the Hellenistic order and not 紫微斗數's, and the transmitted 運限 order runs the same way	人事十二宮 — carried on over-determination, and the check written out
taiyi	the epoch — 上元積年	4	《太乙金鏡式經》's own figure at 開元十二年甲子, 724 CE	the text states three reckonings differing by millions and all three are congruent modulo 周紀法 三百六十, which is the one residue every placement reduces by; the anchor is checked four ways inside the text. The 年計 constants beside it in 卷一 — 周紀法三百六十, 元法七十二, 太乙小周法二十四, 天目周法十八, 紀法六十 — divide into one another and pass every check, which is what shows the broken constants of the other three registers to be local corruption and not a misreading	The epoch, which the text states three times and disagrees with itself about
taiyi	the placements — 太乙宮, 天目, 主算, 客目, 客算, 計神	4	卷三's procedure, run over the 年計 register	the text's own 立成, 144 rows and 864 cells: 850 exact, thirteen of the fourteen divergences settled by the text against itself, one written down unsettled	The verification, and what it is worth
taiyi	大將 and 參將	5	the worked boards of 卷一, 卷六 and 卷九, which name their own 局	each is checked individually; the 參將's ring is induced rather than transmitted and the output says so, giving undefined where a count reduces to the centre	The verification, and what it is worth
taiyi	the 太歲 the count yields	1	the count from the anchor year, one a year in either direction	yearGanzhi over four centuries — the one check on this board that does not come from the text	The verification, and what it is worth
ziwei	the twelve palaces, the bureau, 紫微 and the fourteen main stars	1	《紫微斗數全書》卷二's verses, counted from the lunar month, the hour and the day	iztro and fortel-ziweidoushu over 544 births from 1930 to 2020: fifty-nine of sixty-three quantities agreeing in every chart	The comparison, and what it is worth
ziwei	the brightness grades	3	the table of seven grades closing 卷二	the grid counted itself — eighteen stars in all twelve branches and three in exactly eight, which is what 祿存 following the year stem forces; 卷三's coarse summaries agree where they overlap	The table of seven grades, which counted itself
ziwei	天刑 and 天姚	2	卷二, 酉 and 丑 counted forward from the first month	the only placements 《全書》 shares with the 十八飛星 transmission, agreeing character for character across two lineages that agree about nothing else	The comparison, and what it is worth
ziwei	火星 and 鈴星	4	卷二's seats from the birth year's triplicity, the hour nowhere in the verse	both editions print the same rule; agreement with the references is exactly the quarter of the sample whose hour offset is zero, which is what names the divergence rather than hiding it	The comparison, and what it is worth
ziwei	解神	4	「解神從戌上起子，逆數至當生年太歲上是也」, placed off the birth year	both editions agree; what modern software carries under this name is the 月系 star placed off the month — two quantities wearing one name	The comparison, and what it is worth
ziwei	the 四化 at 庚	5	《全書》's 庚日武陰同為首	the two editions of this book disagree about the line, and the reading kept is the one the references compute; a 中州派 manual sides with it, which is a school agreeing and not a witness. The Ming 南陽堂 recension, read on the plate, prints a third form — 庚日武同相為者, 科 天同 and 忌 天相 — so the line has three readings and the shipped one is the only one two voices agree on	The comparison, and what it is worth
ziwei	the five phases the board is inked by	2	three passages of 卷二, which give a phase to every star it places bar thirteen	both editions agree on all three word for word	The five phases, which this board reads and does not merely file
ziwei	身主	5	the 身主 line of 卷二, which reads 「子午人火玲星」 in both editions	the second witness confirms there is nothing to resolve it with: the defect is the work's and not a copyist's, and the induction first made here was withdrawn	身主, where an induction was made and then withdrawn
